county,Part,id,crime_rate,violence_ratio_2021,theft_ratio_2021,rent,median_wage
Middlesbrough,UK,2999,1702.710215,682.6268242,472.4808895,475,23414
Southampton,UK,2354,1325.542169,592.4497992,355.5823293,875,26970
Derby,UK,2732,1225.248661,589.2884468,281.331293,600,30681
Medway,UK,2004,1099.535382,587.491065,230.4503217,875,26111
Portsmouth,UK,2355,1300.720807,576.6938972,358.7217684,850,27194
Kingston upon Hull,UK,2168,1289.217522,573.0438038,309.3597903,450,23300
West Midlands,UK,455,1184.706809,571.866009,328.5381559,700,25167
Southend-on-Sea,UK,2527,1111.510791,564.4161594,256.2811289,875,19776
West Yorkshire,UK,215,1173.907127,543.9020242,274.2558258,625,24373
Denbighshire,UK,1281,997.1816284,534.7599165,183.0897704,596.2581345,21860
Hartlepool,UK,3002,1266.738895,526.4355363,358.7215601,480,24690
Leicester,UK,1849,1165.301139,515.7080846,269.8860553,695,23153
Westminster,UK,1493,2308.85952,498.6784141,1388.44836,2687,42293
Manchester,UK,0,1196.251613,494.9510094,338.9692807,900,28002
North East Lincolnshire,UK,2170,1077.246654,477.8840025,245.1880178,475,22727
Merseyside,UK,9105,1085.610904,477.6645823,230.9421766,575,25192
Halton,UK,3020,912.7925117,475.6630265,146.6458658,525,25563
Conwy,UK,1280,873.6933798,469.4250871,137.71777,630.4229935,21860
Stoke-on-Trent,UK,729,962.8482972,467.1052632,266.6021672,495,24962
Wrexham,UK,1278,945.3737972,466.765359,194.4485566,578.362256,24275
Darlington,UK,2580,985.6215213,463.9146568,219.5732839,475,23890
Nottingham,UK,916,1165.183812,458.6345382,352.1779425,725,24733
Stockton-on-Tees,UK,3000,1026.29705,455.2390641,249.1861648,515,24690
Blackburn with Darwen,UK,1883,946.5762274,452.3255814,241.9250646,500,24618
Kent,UK,24126,880.2487152,439.1028488,203.6799695,900,24850
Peterborough,UK,3047,995.27121,436.0686138,273.3889662,725,25667
Redcar and Cleveland,UK,3001,1035.238095,433.1135531,280.4395604,455,23414
Milton Keynes,UK,385,891.6027875,414.8780488,222.1254355,995,29518
Durham,UK,2579,881.6127179,412.9285577,192.7408542,625,22488
Pembrokeshire,UK,2558,753.5656402,410.534846,104.4570502,558.0260304,23144
Telford and Wrekin,UK,116,822.1982759,410.1293103,217.7801724,625,24148
Blaenau Gwent,UK,2393,829.2974589,408.6696562,193.1240658,465.2928416,23970
Thurrock,UK,2530,925.1136364,405.0568182,280.5113636,950,27337
South Yorkshire,UK,3174,996.3345455,403.1272727,288.5381818,575,23584
Plymouth,UK,2702,737.7030601,401.0955799,123.6494144,695,22422
Bristol,UK,3627,1020.131245,398.0948349,310.7535986,572,27684
Essex,UK,30412,815.7208436,397.4985031,199.5808662,950,24460
Isle of Wight,UK,2358,755.1994302,393.4472934,112.6780627,695,20538
Newport,UK,2390,901.6290727,389.7243108,265.914787,662.9609544,23229
Tyne and Wear,UK,4269,932.2210132,384.4637891,231.8462096,572,23605
Northamptonshire,UK,7532,775.0127356,381.1640346,195.2241467,750,25302.68148
Ceredigion,UK,2560,715.9440559,379.8601399,101.5384615,649.132321,23080
Warrington,UK,3019,735.0877193,377.1929825,148.7908962,625,25979
Northumberland,UK,2130,903.0927835,376.8846649,236.7268041,475,21173
Lancashire,UK,24541,777.9642546,373.3653008,201.4675966,550,22915
Brighton and Hove,UK,407,913.7806638,368.975469,277.5974026,1250,25933
Carmarthenshire,UK,2557,700.6918574,367.642363,118.5737094,527.1149675,23144
Norfolk,UK,9037,701.1896966,362.9666012,124.1322855,695,24219.14634
Merthyr Tydfil,UK,868,876.1904762,360.3741497,216.3265306,536.8763557,24416
Torbay,UK,2703,734.5297918,357.6453697,172.2900215,695,21216
Gwynedd,UK,2565,691.7376491,348.7223169,112.2383253,608.4598698,19944
Anglesey,UK,,649.4920174,355.7329463,,558.8394794,25913
"Rhondda, Cynon, Taff",UK,864,726.5460665,350.6941523,134.2448464,575.1084599,24416
Torfaen,UK,2392,699.0249187,350.3791983,146.9122427,657.2668113,24416
Flintshire,UK,1279,696.1290323,346.2580645,131.3548387,601.1388286,24275
Cardiff,UK,862,949.7516556,339.0452539,322.4337748,837.0390456,25196
Cumbria,UK,17487,687.9351741,338.8355342,130.7723089,533,25210
Caerphilly,UK,2391,670.3240478,337.7487209,129.5622513,677.6030369,24416
North Lincolnshire,UK,2171,773.6593989,337.5368297,201.7678256,525,22906
Cheshire,UK,6035,646.468254,335.0661376,120.1190476,678.7798942,25563
Luton,UK,3525,813.4043498,334.2210386,249.4895695,860,27157
London,UK,4501,1111.884603,332.2671684,512.0727501,1800,34722
Powys,UK,2559,627.9279279,327.5525526,95.12012012,431.1279826,21837
Derbyshire,UK,21892,688.2330732,327.0198842,162.2325698,600,24243.7156
Hackney,UK,1499,1135.725309,326.6589506,586.5354938,1750,31342
Neath Port Talbot,UK,865,680.604357,325.8608573,133.1693605,528.7418655,26393
Haringey,UK,1501,1050.605602,320.6283119,533.6866011,1578,35271
Swansea,UK,863,758.951782,317.0649895,187.672956,706.0737527,23112
Islington,UK,1510,1101.292705,312.3268698,567.4515235,1925,35271
Tower Hamlets,UK,1496,991.4598775,311.6661296,443.9574605,1750,43353
Camden,UK,1503,1268.348406,311.2803427,709.5668729,2050,48430
Herefordshire,UK,117,595.3500802,310.4222341,124.9064671,650,21138
Kensington and Chelsea,UK,1517,1229.358438,308.0195258,673.0822873,2695,32240
Greenwich,UK,1507,848.9795918,307.9557247,330.5776548,1400,26137
Suffolk,UK,3948,633.4692267,307.0094687,146.9752762,725,24188
Lambeth,UK,1497,953.4949622,306.5806045,421.9143577,1742,30097
Lincolnshire,UK,12824,673.7376366,304.7371161,184.7995836,605,22915
Barking and Dagenham,UK,1516,824.7144815,300.5025126,321.3339424,1275,26103
Worcestershire,UK,723,644.4996687,300.0994036,184.9734924,695,24503
Berkshire,UK,2352,710.5928188,300,203.7169633,1082.296936,32980
Hammersmith and Fulham,UK,1515,1029.093886,298.4170306,509.3340611,1867,32240
Hampshire,UK,25980,640.3454922,296.8520237,161.5818402,900,27433.08718
Bridgend,UK,866,623.6426117,292.371134,117.3195876,613.340564,26393
Croydon,UK,1495,799.7697032,290.9416581,310.1074719,1250,31191
Newham,UK,1494,900.9114212,288.09456,414.5257761,1550,31342
