,RANK,SCHOOL,Link,TOWN,TYPE,A_LEVEL,A_LEVEL_1,A_LEVEL_2,A_LEVEL_3,GCSE,GCSE_1,Type,desc,address,address_revised,long,lat,gender_age,Annual fees,Annual fee average,Inspection rating,Gender,students_n,website,fee,boarding_fee,boys,girls,6_form,mixed,day_fee,annual_fee,day,boarding
0,0,St Paul's Girls' School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82337/table/33/st-pauls-girls-school,London,,53.7,87.9,97.8,1,99.4,1,Private,"St Paul's Girls' School is an independent day school for girls, aged 11 to 18, located in Brook Green, Hammersmith, in West London, England.","Brook Grn, London W6 7BS","Brook Green, Hammersmith, London, W6 7BS",51.494895,-0.218567504,Girls (11 to 18),"GBP 27,831–27,831","GBP 28,000",Excellent,All girls,788 (11-18),www.spgs.org,"Day K &pound 8,802 - K &pound 9,463 (11-18) includes lunch",,0,1,0,0,9463,28389,1,
1,1,"King's College School, Wimbledon",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82350/table/33/kings-college-school-wimbledon,Wimbledon,,51,85.7,96.9,3,96.5,7,Private,"King's College School, also known as Wimbledon, KCS, King's and KCS Wimbledon, is a public school in Wimbledon, southwest London, England.","Southside, Wimbledon Common, London SW19 4TT","Southside, Wimbledon Common, Wimbledon, SW19 4TT",51.4204054,-0.225184674,Boys (7 to 18). Mixed sixth form,"GBP 21,930–24,255","GBP 23,000",Excellent,Co-educational,"1,192 (11-18)",www.kcs.org.uk,"Day K &pound 6,930 - K &pound 7,665 (11-18)",,1,0,1,0,7665,22995,1,
2,2,Sevenoaks School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82557/table/33/sevenoaks-school,Sevenoaks,,48.8,84.4,95.8,7,92.7,16=,Private,"Sevenoaks School is a highly selective coeducational independent school in Sevenoaks, Kent, England. It is the second oldest non-denominational school in ...","High St, Sevenoaks TN13 1HU","Sevenoaks, Kent, TN13 1HU",51.26425305,0.197193414,Mixed (11 to 18). Mixed sixth form,"GBP 26,721–26,721","GBP 26,500",Excellent,Co-educational,"1,122 (11-18)",www.sevenoaksschool.org,"Day K &pound 8,340 - K &pound 9,471 (11-18) includes lunch","Boarding K &pound 13,320 - K &pound 14,451 (11-18)",0,0,1,1,9471,28413,1,1
3,3,"Queen Elizabeth's School, Barnet",https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83673/table/34/queen-elizabeths-school-barnet,Barnet,Selective (100%),44.5,84.3,96.3,1,91.5,3,State,"Queen Elizabeth's School, Barnet is a boys' grammar school in Barnet, northern Greater London, which was founded in 1573 by Robert Dudley, ...","Queens Rd, Barnet EN5 4DQ","Queen's Road, Barnet, Hertfordshire, EN5 4DQ",51.6518792,-0.196575684,Boys (11 to 18),,,,,"1,282",www.qebarnet.co.uk,,,1,0,0,0,0,0,1,
4,4,Winchester College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/83457/table/33/winchester-college,Winchester,,46.6,84.2,92.8,22,89.6,36,Private,"Winchester College is a public school in Winchester, Hampshire, England. It was founded by William of Wykeham in 1382 and has existed in its present ...","College St, Winchester SO23 9NA","College Street, Winchester, SO23 9NA",51.0553821,-1.3161955,Boys (13 to 18),"GBP 33,990–33,990","GBP 34,000",Excellent,Co-educational,689 (13-18),www.winchestercollege.org,"Boarding K &pound 14,445 (13-18)","Boarding K &pound 14,445 (13-18)",1,0,0,0,11330,33990,,1
5,5,Westminster School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82514/table/33/westminster-school,Westminster,,54.4,84.1,94.1,17,98.3,2,Private,"Westminster School is a public school in Westminster, London, England, in the precincts of Westminster Abbey. It derives from a charity school founded by ...","17A Dean's Yard, London SW1P 3PB","Little Dean's Yard, Westminster, Westminster, SW1P 3PF",51.4981815,-0.127998183,Boys (7 to 18). Mixed sixth form,"GBP 31,464–32,247","GBP 32,000",Excellent,Co-educational,759 (13-18),www.westminster.org.uk,"Day K &pound 9,987 - K &pound 10,917 (13-18) includes lunch","Boarding K &pound 14,424 (13-18)",1,0,1,0,10917,32751,1,1
6,6,The Perse School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82240/table/33/the-perse-school,Cambridge,,51.5,83.8,94.7,14,92.6,18,Private,"The Perse School is a public school (English independent day and, in the case of the Perse, a former boarding school) in Cambridge, England.","Hills Rd, Cambridge CB2 8QF","Hills Road, Cambridge, CB2 8QF",52.182482,0.1193218,Mixed (3 to 18). Mixed sixth form,"GBP 14,478–18,525","GBP 17,000",Excellent,Co-educational,"1,673 (3-18)",www.perse.co.uk,"Day K &pound 6,175 (11-18)",,0,0,1,1,6175,18525,1,
7,7,Concord College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82546/table/33/concord-college,Shrewsbury,,41.6,83.7,96.4,6,84.2,55,Private,"Concord College, Shrewsbury, Shropshire. 3976 likes · 130 talking about this · 41 were here. Concord College is an international boarding and day school...","Acton Burnell Hall, Acton Burnell, Shrewsbury SY5 7PF","Acton Burnell Hall, Acton Burnell, Shrewsbury, Shropshire, SY5 7PF",52.61402857,-2.690064415,Mixed (13 to 18). Mixed sixth form,"GBP 16,200–16,200","GBP 16,000",No rating,Co-educational,591 (13-18),www.concordcollegeuk.com,"Day K &pound 5,200 (13-18)","Boarding K &pound 15,833 (13-18)",0,0,1,1,5200,15600,1,1
8,8,St Paul's School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82349/table/33/st-pauls-school,London,,49.4,83.7,95.4,8,96.1,8,Private,"St Paul's School is a selective independent day and boarding school for boys aged 13–18, founded in 1509 by John Colet and located on a 43-acre site by the ...","Lonsdale Road, Barnes, London, United Kingdom","Lonsdale Road, Barnes, London, SW13 9JT",51.4869324,-0.240636587,Boys (7 to 18),"GBP 27,831–27,831","GBP 28,000",Excellent,All girls,"1,486 (7-18)",www.stpaulsschool.org.uk,"Day K &pound 8,852 (13-18) includes lunch","Boarding K &pound 13,322 (13-18)",1,0,0,0,8852,26556,1,1
9,9,Wycombe Abbey School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82599/table/33/wycombe-abbey-school,High Wycombe,,37.4,83.5,96.7,4,96.7,6,Private,"Wycombe Abbey is an independent girls' boarding and day school in High Wycombe, Buckinghamshire, England. It is consistently ranked as one of the top ...","Wycombe Abbey Frances Dove Way, High Wycombe HP11 1PE","Frances Dove Way, High Wycombe, Buckinghamshire, HP11 1PE",51.62372515,-0.749256087,Girls (11 to 18),,,,,656 (11-18),www.wycombeabbey.com,"Day K &pound 10,315 (11-18) includes lunch","Boarding K &pound 13,750 (11-18)",0,1,0,0,10315,30945,1,1
10,10,Magdalen College School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82536/table/33/magdalen-college-school,Oxford,,44.1,83.3,96.6,5,95.3,10,Private,"Magdalen College School (MCS) is a public school (English independent day school) in Oxford, England, for boys aged seven to eighteen and for girls in the ...","Cowley Place, Oxford, Oxfordshire, England","Cowley Place, Oxford, OX4 1DZ",51.7490111,-1.247548792,Boys (7 to 18). Mixed sixth form,"GBP 19,074–19,800","GBP 19,500",Excellent,Co-educational,964 (7-18),www.mcsoxford.org,"Day K &pound 6,600 (11-18)",,1,0,1,0,6600,19800,1,
11,11,Guildford High School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82509/table/33/guildford-high-school,Guildford,,45.2,83,95.3,9=,97.2,3,Private,"Guildford High School is an independent day school for girls that was founded in 1888. Approximately 1,000 girls between ages 4 to 18 attend the school from ...","London Rd, Guildford GU1 1SJ","London Road, Guildford, Surrey, GU1 1SJ",51.24176555,-0.563887132,Girls (4 to 18),"GBP 12,780–19,215","GBP 17,000",Excellent,All girls,985 (4-18),www.guildfordhigh.surrey.sch.uk,"Day K &pound 6,100 - K &pound 6,180 (11-18)",,0,1,0,0,6180,18540,1,
12,12,Queen Ethelburga's College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82420/table/33/queen-ethelburgas-college,York,,33.5,82.9,95.2,11,77.3,74,Private,"Queen Ethelburga's Collegiate incorporates four boarding and day schools for girls and boys from 3 months to 19 years old, located in Thorpe Underwood, ...","Thorpe Underwood, Estate, York YO26 9SS","Thorpe Underwood Estate, York, YO26 9SS",54.028,-1.2933,Mixed (0 to 19). Mixed sixth form,,,,,782 (0-19),www.qe.org,"Day K &pound 5,765 - K &pound 6,169 (14-19)","Boarding K &pound 13,361 - K &pound 14,012 (14-19)",0,0,1,1,6169,18507,1,1
13,13,City of London School for Girls,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82545/table/33/city-of-london-school-for-girls,London,,45.3,82.1,95.1,12,95.4,9,Private,The City of London School for Girls (CLSG) is an independent school in the Barbican in the City of London. It is the partner school of the all-boys City of ...,"Barbican,St Giles Terrace, Wood St, London EC2Y 8BB","St Giles' Terrace, Barbican, London, EC2Y 8BB",51.51915585,-0.094482783,Girls (7 to 18),"GBP 20,664–20,664","GBP 20,500",Excellent,All girls,769 (7-18),www.clsg.org.uk,"Day K &pound 6,888 (11-18)",,0,1,0,0,6888,20664,1,
14,14,Eton College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82539/table/33/eton-college,Windsor,,43,81.7,94.6,15,95,11,Private,"Eton College is a public school in Eton, Berkshire, England. It was founded in 1440 by Henry VI under the name Kynge's College of Our Ladye of Eton besyde ...",Windsor SL4 6DW,"Windsor, Berkshire, SL4 6DW",51.49207255,-0.607706784,Boys (13 to 18),"GBP 46,296–46,296","GBP 46,500",Excellent,All boys,"1,316 (13-18)",www.etoncollege.com,"Boarding K &pound 14,698 (13-18)","Boarding K &pound 14,698 (13-18)",1,0,0,0,14698,44094,,1
15,15,Brighton College,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82532/table/33/brighton-college,Brighton,,40.1,80.7,97.4,2,90.9,27,Private,"Brighton College is an independent, co-educational boarding and day school for boys and girls aged 3 to 18 in Brighton, England. The school has three sites: ...","Eastern Rd, Brighton BN2 0AL","Eastern Road, Brighton, East Sussex, BN2 0AL",50.82167395,-0.121253121,Mixed (3 to 18). Mixed sixth form,"GBP 12,090–28,260","GBP 21,000",Excellent,Co-educational,"1,235 (11-18)",www.brightoncollege.net,"Day K &pound 6,120 - K &pound 8,900 (11-18) includes lunch","Boarding K &pound 12,220 - K &pound 14,550 (13-18)",0,0,1,1,8900,26700,1,1
16,16,The Haberdashers' Aske's Boys' School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82556/table/33/the-haberdashers-askes-boys-school,Elstree,,45,80.7,95.3,9=,91.4,22=,Private,Habs offer a breadth of character-building opportunities in their extensive and inclusive co-curricular programme. The school truly values activities beyond the ...,"Butterfly Ln, Elstree, Radlett, Borehamwood WD6 3AF","Butterfly Lane, Elstree, Hertfordshire, WD6 3AF",51.6555413,-0.311388815,Boys (5 to 18),"21,159.00",,,,"1,138 (11-18)",www.habsboys.org.uk,"Day K &pound 7,159 (11-18)",,1,0,0,0,7159,21477,1,
17,17,North London Collegiate School,https://st.hitcreative.com/education/parent_power_jQyGusnEbsIgkbrC/ParentPower/school/id/82588/table/33/north-london-collegiate-school,Edgware,,39.6,79.9,92.5,24=,97.1,4,Private,"North London Collegiate School (NLCS) is an independent school with a day school for girls in England. Founded in Camden Town, it is now located in Edgware, ...","Canons Dr, Edgware HA8 7RJ","Canons, Canons Drive, Edgware, Middlesex, HA8 7RJ",51.6150838,-0.294764956,Girls (4 to 18),"GBP 18,849–22,308","GBP 20,500",Excellent,All girls,"10,097 (4-18)",www.nlcs.org.uk,"Day K &pound 7,049 (11-18)",,0,1,0,0,7049,21147,1,
